"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN7999x15010640516892120850,Toko Dunia Badminton,ngemplak asem kelurahan umbulmartani kecamatan ngemplak 55584 Ngaglik Special Region of Yogyakarta,https://www.bing.com/th?id=OLC.EVvLcgL97L9U0g480x360&pid=Local,https://www.bing.com/maps?cp=-7.6789774894714355%7E110.43107604980469&lvl=16.0&q=Toko%20Dunia%20Badminton%20%2C%20ngemplak%20asem%20kelurahan%20umbulmartani%20kecamatan%20ngemplak%2055584%20Ngaglik%20Special%20Region%20of%20Yogyakarta,-7.678977489,110.431076,,,Sporting goods,Closed · Opens tomorrow 09:00,,0822-3050-5707,,"https://www.facebook.com/tokoduniabadmintonadmin/,https://www.instagram.com/reel/daxqvdpy4me/",https://www.facebook.com/tokoduniabadmintonadmin/,https://www.instagram.com/reel/daxqvdpy4me/,
ypid:YN7999x17337718073839512071,Lapangan Badminton MOY,8FF7+6M7 55583 Cangkringan Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.6769537925720215%7E110.46418762207031&lvl=16.0&q=Lapangan%20Badminton%20MOY%20%2C%208FF7%2B6M7%2055583%20Cangkringan%20Daerah%20Istimewa%20Yogyakarta,-7.676953793,110.4641876,,,Badminton court,,,0812-1589-3315,,,,,
ypid:YN7999x18430427700217231755,Gor Mini Badminton Sambilegi,Jl. Teratai No.63 55281 Depok Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.77699613571167%7E110.43408966064453&lvl=16.0&q=Gor%20Mini%20Badminton%20Sambilegi%20%2C%20Jl.%20Teratai%20No.63%2055281%20Depok%20Daerah%20Istimewa%20Yogyakarta,-7.776996136,110.4340897,,,Badminton court,,,0813-2804-6516,,,,,
ypid:YN7999x13439411129621200716,GOR PHOENIX BADMINTON CENTER,Jl. Sumberan Baru No.254e 55184 Yogyakarta Yogyakarta,,https://www.bing.com/maps?cp=-7.782492160797119%7E110.34825134277344&lvl=16.0&q=GOR%20PHOENIX%20BADMINTON%20CENTER%20%2C%20Jl.%20Sumberan%20Baru%20No.254e%2055184%20Yogyakarta%20Yogyakarta,-7.782492161,110.3482513,,,Badminton court,,,0853-8565-5555,,,,,
ypid:YN7999x1665909432657660668,Lap Badminton Derkuku,"6CMC+J3Q, Gg. Derkuku 55281 Depok Daerah Istimewa Yogyakarta",,https://www.bing.com/maps?cp=-7.765920162200928%7E110.42024230957031&lvl=16.0&q=Lap%20Badminton%20Derkuku%20%2C%206CMC%2BJ3Q%2C%20Gg.%20Derkuku%2055281%20Depok%20Daerah%20Istimewa%20Yogyakarta,-7.765920162,110.4202423,,,Badminton court,,,,,,,,
ypid:YN7999x8425273161859727073,Chimpling Badminton,8CQG+976 55582 Pakem Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.661591053009033%7E110.42562866210938&lvl=16.0&q=Chimpling%20Badminton%20%2C%208CQG%2B976%2055582%20Pakem%20Daerah%20Istimewa%20Yogyakarta,-7.661591053,110.4256287,,,Badminton court,,,0857-2783-8299,,,,,
ypid:YN7999x12501487737002452864,Gor Jambon Badminton Center,"1,Jalan Jambon 55291 Sleman Yogyakarta",,https://www.bing.com/maps?cp=-7.764900207519531%7E110.34929656982422&lvl=16.0&q=Gor%20Jambon%20Badminton%20Center%20%2C%201%2CJalan%20Jambon%2055291%20Sleman%20Yogyakarta,-7.764900208,110.3492966,,,Badminton court,,,0822-2555-7911,,,,,
ypid:YN7999x15195844842329265298,GOR Badminton Kelurahan Kricak,69G5+8QG 55242 Tegalrejo Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.774188041687012%7E110.35945129394531&lvl=16.0&q=GOR%20Badminton%20Kelurahan%20Kricak%20%2C%2069G5%2B8QG%2055242%20Tegalrejo%20Daerah%20Istimewa%20Yogyakarta,-7.774188042,110.3594513,,,Badminton court,,,0878-1631-4088,,,,,
ypid:YN7999x12454319897949613355,G O R Badminton Nusa Indah,Jalan godean km 4.5 Kota Yogyakarta,,https://www.bing.com/maps?cp=-7.780436038970947%7E110.34671020507812&lvl=16.0&q=G%20O%20R%20Badminton%20Nusa%20Indah%20%2C%20Jalan%20godean%20km%204.5%20Kota%20Yogyakarta,-7.780436039,110.3467102,,,Badminton court,,,,,,,,
ypid:YN7999x2848271289763544114,GOR GOTRO (Badminton),Jalan Gotong Royong 1 16466 Depok Yogyakarta,,https://www.bing.com/maps?cp=-7.767190456390381%7E110.36692810058594&lvl=16.0&q=GOR%20GOTRO%20(Badminton)%20%2C%20Jalan%20Gotong%20Royong%201%2016466%20Depok%20Yogyakarta,-7.767190456,110.3669281,,,Badminton court,,,0857-7785-4652,,,,,
