"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN7999x6777565074106325186,UTAMA basketball - GOR victory,Jl. Veteran 19-23 55165 Yogyakarta City Special Region of Yogyakarta,https://www.bing.com/th?id=OLC.O9T05X37dgf/vg480x360&pid=Local,https://www.bing.com/maps?cp=-7.804407596588135%7E110.39482879638672&lvl=16.0&q=UTAMA%20basketball%20-%20GOR%20victory%20%2C%20Jl.%20Veteran%2019-23%2055165%20Yogyakarta%20City%20Special%20Region%20of%20Yogyakarta,-7.804407597,110.3948288,,,Basketball court,,https://www.facebook.com/people/UTAMA-basketball-GOR-victory/100063649269287/,(0274) 373077,,,,,
ypid:YN7999x4801041624190749381,UMY Basketball Court,Jalan Ringroad Barat Sleman Yogyakarta,,https://www.bing.com/maps?cp=-7.750536918640137%7E110.34098815917969&lvl=16.0&q=UMY%20Basketball%20Court%20%2C%20Jalan%20Ringroad%20Barat%20Sleman%20Yogyakarta,-7.750536919,110.3409882,,,Basketball court,,,,,,,,
ypid:YN7999x7629725375753222097,ISLAMIC CENTRE Basketball's Court,Jalan Untung Suropati 134 57118 Surakarta Jawa Tengah,,https://www.bing.com/maps?cp=-7.578924655914307%7E110.83724975585938&lvl=16.0&q=ISLAMIC%20CENTRE%20Basketball's%20Court%20%2C%20Jalan%20Untung%20Suropati%20134%2057118%20Surakarta%20Jawa%20Tengah,-7.578924656,110.8372498,,,Basketball court,,,0878-3555-5560,,,,,
ypid:YN7999x14436657094591334211,Basketball Court SMA N 2 Bantul,Jalan RA Kartini Trirenggo Bantul Bantul Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.893733024597168%7E110.33851623535156&lvl=16.0&q=Basketball%20Court%20SMA%20N%202%20Bantul%20%2C%20Jalan%20RA%20Kartini%20Trirenggo%20Bantul%20Bantul%20Daerah%20Istimewa%20Yogyakarta,-7.893733025,110.3385162,,,Basketball court,,,,,,,,
ypid:YN7999x4639433118663112920,Bima Perkasa Basketball Academy,Jl. Miliran III No.400 55165 Umbulharjo Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.7969560623168945%7E110.3899154663086&lvl=16.0&q=Bima%20Perkasa%20Basketball%20Academy%20%2C%20Jl.%20Miliran%20III%20No.400%2055165%20Umbulharjo%20Daerah%20Istimewa%20Yogyakarta,-7.796956062,110.3899155,,,Volleyball club,,,0812-2944-3834,,,,,
ypid:YN7999x16599117397824726744,Mataram Basketball Academy (Victory),Jl. Veteran No.23 55164 Umbulharjo Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.803598880767822%7E110.39493560791016&lvl=16.0&q=Mataram%20Basketball%20Academy%20(Victory)%20%2C%20Jl.%20Veteran%20No.23%2055164%20Umbulharjo%20Daerah%20Istimewa%20Yogyakarta,-7.803598881,110.3949356,,,School,,,,,https://www.bing.com/images/search?view=detailv2&ccid=dus1hgfa&id=ccff894d0ba62479bb3b2503ee496fdf2b4a02bd&thid=oip.dus1hgfa98eal1gaqpqulahahy&mediaurl=https://lookaside.instagram.com/seo/google_widget/crawler/?media_id=3575094567265739600&q=mataram+basketball+academy+(victory)+jl.+veteran+no.23+55164+umbulharjo+daerah+istimewa+yogyakarta&ck=324923ac3cc3579e315c5e30b077e54f&idpp=rc&expw=1222&exph=1217&form=rc2idp,,https://www.bing.com/images/search?view=detailv2&ccid=dus1hgfa&id=ccff894d0ba62479bb3b2503ee496fdf2b4a02bd&thid=oip.dus1hgfa98eal1gaqpqulahahy&mediaurl=https://lookaside.instagram.com/seo/google_widget/crawler/?media_id=3575094567265739600&q=mataram+basketball+academy+(victory)+jl.+veteran+no.23+55164+umbulharjo+daerah+istimewa+yogyakarta&ck=324923ac3cc3579e315c5e30b077e54f&idpp=rc&expw=1222&exph=1217&form=rc2idp,
ypid:YN7999x5007924178752237441,Sport Academy Yogyakarta (Futsal&Basketball Court),Jalan Garuni 3 55281 Sleman Yogyakarta,,https://www.bing.com/maps?cp=-7.775973796844482%7E110.41178131103516&lvl=16.0&q=Sport%20Academy%20Yogyakarta%20(Futsal%26Basketball%20Court)%20%2C%20Jalan%20Garuni%203%2055281%20Sleman%20Yogyakarta,-7.775973797,110.4117813,,,Futsal field,,,0823-2722-3430,,,,,
ypid:YN7999x13678191436675560267,BBS Basketball Court,Jalan Jangli Boulevard 50261 Semarang Central Java,,https://www.bing.com/maps?cp=-7.032989978790283%7E110.43065643310547&lvl=16.0&q=BBS%20Basketball%20Court%20%2C%20Jalan%20Jangli%20Boulevard%2050261%20Semarang%20Central%20Java,-7.032989979,110.4306564,,,Basketball court,,,(024) 8502071,sales.bbs@kwautomotive.de,,,,
ypid:YN7999x17420263926086263892,Eagles Workout Basketball Skill Development,Gang Candi 54211 Kutoarjo Jawa Tengah,,https://www.bing.com/maps?cp=-7.716215133666992%7E109.91973876953125&lvl=16.0&q=Eagles%20Workout%20Basketball%20Skill%20Development%20%2C%20Gang%20Candi%2054211%20Kutoarjo%20Jawa%20Tengah,-7.716215134,109.9197388,,,Basketball court,,,0896-8768-9837,,,,,
ypid:YN7999x1913249550880094408,Basketball Court,"WCXP+FRV, Jl. Prof. Soedarto 50275 Tembalang Jawa Tengah",,https://www.bing.com/maps?cp=-7.05459451675415%7E110.43109893798828&lvl=16.0&q=Basketball%20Court%20%2C%20WCXP%2BFRV%2C%20Jl.%20Prof.%20Soedarto%2050275%20Tembalang%20Jawa%20Tengah,-7.054594517,110.4310989,,,Basketball court,,,,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
