"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN7999x2320448872809452578,"Next Futsal, Pool & Lounge",Jalan Urip Sumoharjo 139 55222 Kota Yogyakarta Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.783087253570557%7E110.38679504394531&lvl=16.0&q=Next%20Futsal%2C%20Pool%20%26%20Lounge%20%2C%20Jalan%20Urip%20Sumoharjo%20139%2055222%20Kota%20Yogyakarta%20Daerah%20Istimewa%20Yogyakarta,-7.783087254,110.386795,,,Futsal field,,https://next-futsal-pool-lounge.blogspot.com/,(0274) 452155,,,,,
ypid:YN7999x9882931688110422530,Planet Futsal,Jl. Ring Road Utara No.168 55281 Depok Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.760301113128662%7E110.40831756591797&lvl=16.0&q=Planet%20Futsal%20%2C%20Jl.%20Ring%20Road%20Utara%20No.168%2055281%20Depok%20Daerah%20Istimewa%20Yogyakarta,-7.760301113,110.4083176,,,Futsal field,,,(0274) 4477788,,,,,
ypid:YN7999x3747617164361603137,Dolano Coffee & Futsal,"1,Jalan Sonopakis 55182 Bantul Yogyakarta",https://www.bing.com/th?id=OLC.QCJClZlJdH6nAg480x360&pid=Local,https://www.bing.com/maps?cp=-7.811668872833252%7E110.33624267578125&lvl=16.0&q=Dolano%20Coffee%20%26%20Futsal%20%2C%201%2CJalan%20Sonopakis%2055182%20Bantul%20Yogyakarta,-7.811668873,110.3362427,,,Coffee & tea,Open · Closes 00:00,http://www.dolanofutsal.com/,0858-5605-6000,,,,,
ypid:YN7999x15913401808259223871,GPS Futsal Academy,Panggung Harjo Sewon 55711 Bantul Special Region of Yogyakarta,https://www.bing.com/th?id=OLC.OhvNTXyAlgDqPA480x360&pid=Local,https://www.bing.com/maps?cp=-7.8335371017456055%7E110.35806274414062&lvl=16.0&q=GPS%20Futsal%20Academy%20%2C%20Panggung%20Harjo%20Sewon%2055711%20Bantul%20Special%20Region%20of%20Yogyakarta,-7.833537102,110.3580627,,,Futsal field,Open · Closes 23:00,https://www.facebook.com/people/Gps-Futsal-Academy/100079896609046/,0888-3600-600,,,,,
ypid:YN7999x6573938608513183407,Pelle Futsal,Jalan Babarsari 5 55281 Catur tunggal Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.780179977416992%7E110.41544342041016&lvl=16.0&q=Pelle%20Futsal%20%2C%20Jalan%20Babarsari%205%2055281%20Catur%20tunggal%20Daerah%20Istimewa%20Yogyakarta,-7.780179977,110.4154434,,,Futsal field,,,(0274) 6566663,,,,,
ypid:YN7999x16356515784285122788,Angel Futsal,Kwangsan Donorejo Secang 56195 Magelang Central Java,https://www.bing.com/th?id=OLC.IKIRw3SyFVyAEw480x360&pid=Local,https://www.bing.com/maps?cp=-7.387633800506592%7E110.2717514038086&lvl=16.0&q=Angel%20Futsal%20%2C%20Kwangsan%20Donorejo%20Secang%2056195%20Magelang%20Central%20Java,-7.387633801,110.2717514,,,Futsal field,Open · Closes 23:00,https://www.facebook.com/angelfutsalsecang/,0888-0694-8030,,,,,
ypid:YN7999x5007924178752237441,Sport Academy Yogyakarta (Futsal&Basketball Court),Jalan Garuni 3 55281 Sleman Yogyakarta,,https://www.bing.com/maps?cp=-7.775973796844482%7E110.41178131103516&lvl=16.0&q=Sport%20Academy%20Yogyakarta%20(Futsal%26Basketball%20Court)%20%2C%20Jalan%20Garuni%203%2055281%20Sleman%20Yogyakarta,-7.775973797,110.4117813,,,Futsal field,,,0823-2722-3430,,,,,
ypid:YN7999x1183409783116131028,Toronto Futsal,Jalan Wonogiri Pacitan 57673 Wonogiri Jawa Tengah,https://www.bing.com/th?id=OLC.OZMPSJgU/JJfzw480x360&pid=Local,https://www.bing.com/maps?cp=-7.953000068664551%7E110.93150329589844&lvl=16.0&q=Toronto%20Futsal%20%2C%20Jalan%20Wonogiri%20Pacitan%2057673%20Wonogiri%20Jawa%20Tengah,-7.953000069,110.9315033,,,Futsal field,,https://www.facebook.com/people/Toronto-Futsal-Arena/100066431229940/,0823-2556-4732,,,,,
ypid:YN7999x3498677134144203192,FA Futsal,Jl. Joyoningrat No.km 4 56483 Magelang Jawa Tengah,,https://www.bing.com/maps?cp=-7.595958232879639%7E110.33551788330078&lvl=16.0&q=FA%20Futsal%20%2C%20Jl.%20Joyoningrat%20No.km%204%2056483%20Magelang%20Jawa%20Tengah,-7.595958233,110.3355179,,,Futsal field,,,0897-5704-696,,,,,
ypid:YN7999x8438362092669610354,Futsal,Jalan Parang Tritis 55771 Bantul Yogyakarta,,https://www.bing.com/maps?cp=-7.96242618560791%7E110.32167053222656&lvl=16.0&q=Futsal%20%2C%20Jalan%20Parang%20Tritis%2055771%20Bantul%20Yogyakarta,-7.962426186,110.3216705,,,Futsal field,,,0895-3448-71060,,,,,
