"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN7999x12365809462792610635,Mini soccer Perbi,"Jl Akasia Raya, Permata Biru No 01, Desa Cinunuk, Kecamatan Cileunyi 40624 Bandung",https://www.bing.com/th?id=OLC.Nqcu66YDZ0jhFA480x360&pid=Local,https://www.bing.com/maps?cp=-6.946403980255127%7E107.73308563232422&lvl=16.0&q=Mini%20soccer%20Perbi%20%2C%20Jl%20Akasia%20Raya%2C%20Permata%20Biru%20No%2001%2C%20Desa%20Cinunuk%2C%20Kecamatan%20Cileunyi%2040624%20Bandung,-6.94640398,107.7330856,,,Soccer field,Open · Closes 22:00,https://www.facebook.com/Minisoccerperbi98,0852-9410-0417,,,,,
ypid:YN7999x17132738242476237655,CG Mini Soccer,"Jl. Cukang Galih Kidul No.1, RT.02/RW.07 15810 Curug Banten",,https://www.bing.com/maps?cp=-6.260603904724121%7E106.5395278930664&lvl=16.0&q=CG%20Mini%20Soccer%20%2C%20Jl.%20Cukang%20Galih%20Kidul%20No.1%2C%20RT.02%2FRW.07%2015810%20Curug%20Banten,-6.260603905,106.5395279,,,Soccer field,,http://www.gosport.co.id/,0858-8200-7588,"partner@gosport.co.id,cs@gosport.co.id",https://www.instagram.com/gosport.app/,,https://www.instagram.com/gosport.app/,
ypid:YN7999x13951675335161502607,Lapangan Mini Soccer Kepuharjo,9CFW+4PM 55583 Cangkringan Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.627169132232666%7E110.44680786132812&lvl=16.0&q=Lapangan%20Mini%20Soccer%20Kepuharjo%20%2C%209CFW%2B4PM%2055583%20Cangkringan%20Daerah%20Istimewa%20Yogyakarta,-7.627169132,110.4468079,,,Soccer field,,,0857-0991-8124,,,,,
ypid:YN7999x9005850505367822377,Adyoko Mini Soccer,"9V26+JM8, Dukuh Kumbulan, RT.03/RW.10 57528 Sukoharjo Jawa Tengah",,https://www.bing.com/maps?cp=-7.6484551429748535%7E110.86170196533203&lvl=16.0&q=Adyoko%20Mini%20Soccer%20%2C%209V26%2BJM8%2C%20Dukuh%20Kumbulan%2C%20RT.03%2FRW.10%2057528%20Sukoharjo%20Jawa%20Tengah,-7.648455143,110.861702,,,Soccer field,,,0858-6761-6775,,,,,
ypid:YN7999x9065462330614805997,CH4 Arena Mini Soccer,"Jl. Dieng.Km. 05, Krasak, Kec. Mojotengah 56351 Wonosobo Jawa Tengah",,https://www.bing.com/maps?cp=-7.322484970092773%7E109.91322326660156&lvl=16.0&q=CH4%20Arena%20Mini%20Soccer%20%2C%20Jl.%20Dieng.Km.%2005%2C%20Krasak%2C%20Kec.%20Mojotengah%2056351%20Wonosobo%20Jawa%20Tengah,-7.32248497,109.9132233,,,Soccer field,,,0852-9091-2023,,,,,
ypid:YN7999x17135436745270775914,D'Soccer Stadium Mini Soccer,Jl. Sedayu Klp. No.8kel 50115 Genuk Jawa Tengah,,https://www.bing.com/maps?cp=-6.977642059326172%7E110.47918701171875&lvl=16.0&q=D'Soccer%20Stadium%20Mini%20Soccer%20%2C%20Jl.%20Sedayu%20Klp.%20No.8kel%2050115%20Genuk%20Jawa%20Tengah,-6.977642059,110.479187,,,Soccer field,,,0822-2536-6821,,,,,
ypid:YN7999x8381207819140651620,The Arena Mini Soccer,Dr. Suratmo No. 311 A 50222 Kota Semarang Jawa Tengah,,https://www.bing.com/maps?cp=-6.997260093688965%7E110.3814468383789&lvl=16.0&q=The%20Arena%20Mini%20Soccer%20%2C%20Dr.%20Suratmo%20No.%20311%20A%2050222%20Kota%20Semarang%20Jawa%20Tengah,-6.997260094,110.3814468,,,Sports club,,https://wa.me/6281320037990,0813-2003-7990,,"https://x.com/whatsapp,https://www.youtube.com/channel/ucauerig2n-rzwjt8x75v9yw,https://www.instagram.com/whatsapp/?hl=en,https://www.facebook.com/brand/resources/whatsapp/whatsapp-brand",https://www.facebook.com/brand/resources/whatsapp/whatsapp-brand,https://www.instagram.com/whatsapp/?hl=en,https://x.com/whatsapp
ypid:YN7999x9946214823250048287,Orso Mini Soccer,Jl. Jangli Raya No.11 50254 Candisari Jawa Tengah,,https://www.bing.com/maps?cp=-7.023070335388184%7E110.42684936523438&lvl=16.0&q=Orso%20Mini%20Soccer%20%2C%20Jl.%20Jangli%20Raya%20No.11%2050254%20Candisari%20Jawa%20Tengah,-7.023070335,110.4268494,,,Soccer field,,,,,,,,
ypid:YN7999x3931786634407309560,GAMA MINI SOCCER,Jl. Gendong Raya 50272 Tembalang Jawa Tengah,,https://www.bing.com/maps?cp=-7.04060697555542%7E110.46788787841797&lvl=16.0&q=GAMA%20MINI%20SOCCER%20%2C%20Jl.%20Gendong%20Raya%2050272%20Tembalang%20Jawa%20Tengah,-7.040606976,110.4678879,,,Futsal field,,,0812-2530-5399,,,,,
ypid:YN7999x524358243522459522,MINI SOCCER PEDURUNGAN,Jl. Plamongan Elok IV 50192 Pedurungan Jawa Tengah,,https://www.bing.com/maps?cp=-7.02203893661499%7E110.47754669189453&lvl=16.0&q=MINI%20SOCCER%20PEDURUNGAN%20%2C%20Jl.%20Plamongan%20Elok%20IV%2050192%20Pedurungan%20Jawa%20Tengah,-7.022038937,110.4775467,,,Soccer field,,,0813-3777-7032,,,,,
