"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN7999x10679232736978324680,Persatuan Tenis Meja Suryanaga,Jl. Suryoputran No.21 55131 Kraton Daerah Istimewa Yogyakarta,https://www.bing.com/th?id=OLC.5tk5MKsWw4+QWQ480x360&pid=Local,https://www.bing.com/maps?cp=-7.809640884399414%7E110.36556243896484&lvl=16.0&q=Persatuan%20Tenis%20Meja%20Suryanaga%20%2C%20Jl.%20Suryoputran%20No.21%2055131%20Kraton%20Daerah%20Istimewa%20Yogyakarta,-7.809640884,110.3655624,,,Tennis courts,,https://www.facebook.com/tenismejayogyakarta1/,+81 228-07-8916,,,,,
ypid:YN7999x5169362121478159959,Tennis Court at Hyatt Regency Yogyakarta,"Hyatt Regency Yogyakarta Jl. Palagan Tentara Pelajar, Mudal, Sariharjo, Kec. Ngaglik 55581 Kabupaten Sleman Daerah Istimewa Yogyakarta",,https://www.bing.com/maps?cp=-7.7275776863098145%7E110.38023376464844&lvl=16.0&q=Tennis%20Court%20at%20Hyatt%20Regency%20Yogyakarta%20%2C%20Hyatt%20Regency%20Yogyakarta%20Jl.%20Palagan%20Tentara%20Pelajar%2C%20Mudal%2C%20Sariharjo%2C%20Kec.%20Ngaglik%2055581%20Kabupaten%20Sleman%20Daerah%20Istimewa%20Yogyakarta,-7.727577686,110.3802338,,,,Open · Closes 21:00,https://www.hyatt.com/hyatt-regency/en-US/yogya-hyatt-regency-yogyakarta/events-and-attractions?src=nplk-yogya-lclb-tennis-court,(0274) 7071123,"jane.doe@hyatt.com,consumeraffairs@hyatt.com",,,,
ypid:YN7999x7792292953915293614,Lapangan Tenis FIK UNY Gerbang Timur,Jl. Colombo No.1 55281 Catur tunggal Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.774909973144531%7E110.38639831542969&lvl=16.0&q=Lapangan%20Tenis%20FIK%20UNY%20Gerbang%20Timur%20%2C%20Jl.%20Colombo%20No.1%2055281%20Catur%20tunggal%20Daerah%20Istimewa%20Yogyakarta,-7.774909973,110.3863983,,,Tennis courts,,http://fik.uny.ac.id/,(0274) 550826,,,,,
ypid:YN7999x3489621691898550880,T Bakulan,Jalan Parangtritis 5 55781 Bantul Yogyakarta,https://www.bing.com/th?id=OLC.hCXWdroC2Cz5ig480x360&pid=Local,https://www.bing.com/maps?cp=-7.924979209899902%7E110.34906005859375&lvl=16.0&q=T%20Bakulan%20%2C%20Jalan%20Parangtritis%205%2055781%20Bantul%20Yogyakarta,-7.92497921,110.3490601,,,Noodles,Closed · Opens tomorrow 00:00,https://www.facebook.com/omahkopibakulan/,0812-1550-1888,,,,,
ypid:YN7999x17988016345003939227,Bausasran Tennis Club,Jalan Dokter Sutomo 55211 Daerah Istimewa Yogyakarta Yogyakarta,,https://www.bing.com/maps?cp=-7.795648097991943%7E110.3766860961914&lvl=16.0&q=Bausasran%20Tennis%20Club%20%2C%20Jalan%20Dokter%20Sutomo%2055211%20Daerah%20Istimewa%20Yogyakarta%20Yogyakarta,-7.795648098,110.3766861,,,Tennis courts,,,0817-116-136,,,,,
ypid:YN7999x9479992313450015739,Lapangan Tennis Timoho,695R+HCF 55225 Gondokusuman Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.791053771972656%7E110.39103698730469&lvl=16.0&q=Lapangan%20Tennis%20Timoho%20%2C%20695R%2BHCF%2055225%20Gondokusuman%20Daerah%20Istimewa%20Yogyakarta,-7.791053772,110.391037,,,Tennis courts,,,,,,,,
ypid:YN7999x8173947776105510088,Tennis Court Casa Grande,6CQC+M3F 55281 Depok Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.7608208656311035%7E110.420166015625&lvl=16.0&q=Tennis%20Court%20Casa%20Grande%20%2C%206CQC%2BM3F%2055281%20Depok%20Daerah%20Istimewa%20Yogyakarta,-7.760820866,110.420166,,,Tennis courts,,,,,,,,
ypid:YN7999x6504451426264673636,Green Garden Tennis Sport,"P41,Perumahan Green Garden 55182 Bantul Yogyakarta",,https://www.bing.com/maps?cp=-7.776700019836426%7E110.34919738769531&lvl=16.0&q=Green%20Garden%20Tennis%20Sport%20%2C%20P41%2CPerumahan%20Green%20Garden%2055182%20Bantul%20Yogyakarta,-7.77670002,110.3491974,,,Tennis courts,,,(0628) 11282369,,,,,
ypid:YN7999x7727739252004917787,Lapangan Tennis TC,Taman Cemara 55282 Sleman Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.759302139282227%7E110.42033386230469&lvl=16.0&q=Lapangan%20Tennis%20TC%20%2C%20Taman%20Cemara%2055282%20Sleman%20Daerah%20Istimewa%20Yogyakarta,-7.759302139,110.4203339,,,Tennis courts,,,,,,,,
ypid:YN7999x1886913476101661547,CV JOGJA TENNIS CHAMPIONSHIP,Puri Gejayan Indah C-20 Kaliwaru 45281 Kabupaten Sleman Daerah Istimewa Yogyakarta,,https://www.bing.com/maps?cp=-7.764397144317627%7E110.39723205566406&lvl=16.0&q=CV%20JOGJA%20TENNIS%20CHAMPIONSHIP%20%2C%20Puri%20Gejayan%20Indah%20C-20%20Kaliwaru%2045281%20Kabupaten%20Sleman%20Daerah%20Istimewa%20Yogyakarta,-7.764397144,110.3972321,,,Tennis courts,,,,,,,,
ypid:YN7999x10249851073894804108,Lapangan Tennis TSI,"TAMAN SISWA, Perumahan Indah 55151 Mergangsan Daerah Istimewa Yogyakarta",,https://www.bing.com/maps?cp=-7.8090291023254395%7E110.37457275390625&lvl=16.0&q=Lapangan%20Tennis%20TSI%20%2C%20TAMAN%20SISWA%2C%20Perumahan%20Indah%2055151%20Mergangsan%20Daerah%20Istimewa%20Yogyakarta,-7.809029102,110.3745728,,,Tennis courts,,,0821-3612-2302,### In progress ###,### In progress ###,### In progress ###,### In progress ###,### In progress ###
